schoolid,schoolname,calendaryear,firsttimebaryear,state,takers,passers,schoolpasspct,passpct,passpctdiff
00103600,Samford University,2017,2016,GA,14,7,0.5,0.714,-0.214
00103600,Samford University,2018,2017,AL,96,73,0.7604,0.7929,-0.0325
00103600,Samford University,2018,2017,GA,14,8,0.5714,0.7323,-0.1609
00103600,Samford University,2018,2017,TN,12,6,0.5,0.7883,-0.2883
00105100,University of Alabama,2009,2008,AL,98,95,0.9694,0.8902,0.0792
00105100,University of Alabama,2009,2008,TN,7,7,1,0.881,0.119
00105100,University of Alabama,2010,2009,AL,105,101,0.9619,0.8651,0.0968
00105100,University of Alabama,2010,2009,GA,12,12,1,0.8628,0.1372
00105100,University of Alabama,2011,2010,AL,128,122,0.9531,0.8491,0.104
00105100,University of Alabama,2012,2011,AL,110,103,0.9364,0.8758,0.0606
00105100,University of Alabama,2012,2011,TN,9,9,1,0.8111,0.1889
00105100,University of Alabama,2013,2012,AL,114,110,0.9649,0.8756,0.0893
00105100,University of Alabama,2013,2012,GA,10,10,1,0.8398,0.1602
00105100,University of Alabama,2014,2013,AL,93,91,0.9785,0.8689,0.1096
00105100,University of Alabama,2014,2013,FL,8,7,0.875,0.7791,0.0959
00105100,University of Alabama,2014,2013,TN,9,8,0.8889,0.8549,0.034
00105100,University of Alabama,2015,2014,AL,116,110,0.9483,0.8845,0.0638
00105100,University of Alabama,2015,2014,FL,5,5,1,0.7209,0.2791
00105100,University of Alabama,2015,2014,GA,4,4,1,0.8023,0.1977
00105100,University of Alabama,2015,2014,TN,9,8,0.8889,0.7452,0.1437
00105100,University of Alabama,2015,2014,TX,6,6,1,0.7742,0.2258
00105100,University of Alabama,2016,2015,AL,85,79,0.9294,0.8219,0.1075
00105100,University of Alabama,2016,2015,TN,10,8,0.8,0.7804,0.0196
00105100,University of Alabama,2016,2015,TX,9,8,0.8889,0.7321,0.1568
00105100,University of Alabama,2017,2016,AL,73,65,0.8904,0.7951,0.0953
00105100,University of Alabama,2017,2016,GA,11,10,0.9091,0.714,0.1951
00105100,University of Alabama,2017,2016,TN,10,10,1,0.7705,0.2295
00105100,University of Alabama,2017,2016,TX,10,10,1,0.7704,0.2296
00105100,University of Alabama,2018,2017,AL,80,76,0.95,0.7929,0.1571
00108100,Arizona State University,2009,2008,AZ,172,154,0.8953,0.8403,0.055
00108100,Arizona State University,2010,2009,AZ,144,120,0.8333,0.7976,0.0357
00108100,Arizona State University,2011,2010,AZ,142,122,0.8592,0.8074,0.0518
00108100,Arizona State University,2012,2011,AZ,162,139,0.858,0.7561,0.1019
00108100,Arizona State University,2013,2012,AZ,169,146,0.8639,0.8021,0.0618
00108100,Arizona State University,2014,2013,AZ,190,167,0.8789,0.7823,0.0966
00108100,Arizona State University,2015,2014,AZ,171,153,0.8947,0.7366,0.1581
00108100,Arizona State University,2016,2015,AZ,184,156,0.8478,0.6581,0.1897
00108100,Arizona State University,2017,2016,AZ,166,129,0.7771,0.6306,0.1465
00108100,Arizona State University,2017,2016,CA,11,7,0.6364,0.6005,0.0359
00108100,Arizona State University,2018,2017,AZ,170,128,0.7529,0.6399,0.113
00108300,University of Arizona,2009,2008,AZ,90,83,0.9222,0.8403,0.0819
00108300,University of Arizona,2009,2008,CA,24,21,0.875,0.7807,0.0943
00108300,University of Arizona,2009,2008,WA,4,4,1,0.744,0.256
00108300,University of Arizona,2010,2009,AZ,99,92,0.9293,0.7976,0.1317
00108300,University of Arizona,2011,2010,AZ,95,89,0.9368,0.8074,0.1294
00108300,University of Arizona,2011,2010,CA,12,11,0.9167,0.7124,0.2043
00108300,University of Arizona,2011,2010,NV,4,4,1,0.7272,0.2728
00108300,University of Arizona,2011,2010,NY,3,3,1,0.8492,0.1508
00108300,University of Arizona,2012,2011,AZ,101,86,0.8515,0.7561,0.0954
00108300,University of Arizona,2013,2012,AZ,94,86,0.9149,0.8021,0.1128
00108300,University of Arizona,2014,2013,AZ,89,80,0.8989,0.7823,0.1166
00108300,University of Arizona,2014,2013,CA,15,3,0.2,0.7109,-0.5109
00108300,University of Arizona,2014,2013,CO,9,8,0.8889,0.8199,0.069
00108300,University of Arizona,2015,2014,AZ,102,90,0.8824,0.7366,0.1458
00108300,University of Arizona,2016,2015,AZ,98,79,0.8061,0.6581,0.148
00108300,University of Arizona,2017,2016,AZ,81,59,0.7284,0.6306,0.0978
00108300,University of Arizona,2018,2017,AZ,83,63,0.759,0.6399,0.1191
00108300,University of Arizona,2018,2017,CA,15,8,0.5333,0.6619,-0.1286
00110101,University of Arkansas-Little Rock,2009,2008,AR,107,87,0.8131,0.8253,-0.0122
00110101,University of Arkansas-Little Rock,2010,2009,AR,103,66,0.6408,0.7422,-0.1014
00110101,University of Arkansas-Little Rock,2011,2010,AR,98,67,0.6837,0.7248,-0.0411
00110101,University of Arkansas-Little Rock,2012,2011,AR,111,92,0.8288,0.8352,-0.0064
00110101,University of Arkansas-Little Rock,2012,2011,CA,1,1,1,0.7215,0.2785
00110101,University of Arkansas-Little Rock,2012,2011,NY,2,2,1,0.8503,0.1497
00110101,University of Arkansas-Little Rock,2013,2012,AR,113,84,0.7434,0.7639,-0.0205
00110101,University of Arkansas-Little Rock,2013,2012,OK,2,2,1,0.8404,0.1596
00110101,University of Arkansas-Little Rock,2013,2012,TN,4,4,1,0.7712,0.2288
00110101,University of Arkansas-Little Rock,2014,2013,AR,106,74,0.6981,0.7632,-0.0651
00110101,University of Arkansas-Little Rock,2014,2013,GA,4,3,0.75,0.8515,-0.1015
00110101,University of Arkansas-Little Rock,2014,2013,NY,1,1,1,0.8476,0.1524
00110101,University of Arkansas-Little Rock,2014,2013,TX,8,6,0.75,0.8508,-0.1008
00110101,University of Arkansas-Little Rock,2015,2014,AR,103,77,0.7476,0.7558,-0.0082
00110101,University of Arkansas-Little Rock,2016,2015,AR,97,74,0.7629,0.7669,-0.004
00110101,University of Arkansas-Little Rock,2017,2016,AR,101,63,0.6238,0.6942,-0.0704
00110101,University of Arkansas-Little Rock,2018,2017,AR,106,82,0.7736,0.7749,-0.0013
00110800,University of Arkansas-Fayetteville,2009,2008,AR,89,73,0.8202,0.8253,-0.0051
00110800,University of Arkansas-Fayetteville,2010,2009,AR,93,79,0.8495,0.7422,0.1073
00110800,University of Arkansas-Fayetteville,2011,2010,AR,95,71,0.7474,0.7248,0.0226
00110800,University of Arkansas-Fayetteville,2012,2011,AR,92,76,0.8261,0.8352,-0.0091
00110800,University of Arkansas-Fayetteville,2013,2012,AR,102,84,0.8235,0.7639,0.0596
00110800,University of Arkansas-Fayetteville,2014,2013,AR,98,84,0.8571,0.7632,0.0939
00110800,University of Arkansas-Fayetteville,2015,2014,AR,82,60,0.7317,0.7558,-0.0241
00110800,University of Arkansas-Fayetteville,2015,2014,CA,4,2,0.5,0.6605,-0.1605
00110800,University of Arkansas-Fayetteville,2015,2014,CO,3,3,1,0.7838,0.2162
00110800,University of Arkansas-Fayetteville,2015,2014,MO,7,7,1,0.8759,0.1241
00110800,University of Arkansas-Fayetteville,2015,2014,TX,7,6,0.8571,0.7742,0.0829
00110800,University of Arkansas-Fayetteville,2016,2015,AR,97,76,0.7835,0.7669,0.0166
00110800,University of Arkansas-Fayetteville,2016,2015,OK,2,2,1,0.7485,0.2515
00110800,University of Arkansas-Fayetteville,2017,2016,AR,65,48,0.7385,0.6942,0.0443
00110800,University of Arkansas-Fayetteville,2017,2016,TX,11,8,0.7273,0.7704,-0.0431
00110800,University of Arkansas-Fayetteville,2018,2017,AR,66,53,0.803,0.7749,0.0281
00110800,University of Arkansas-Fayetteville,2018,2017,MO,15,15,1,0.863,0.137
00116453,Chapman University,2009,2008,AZ,4,4,1,0.8403,0.1597
00116453,Chapman University,2009,2008,CA,167,126,0.7545,0.7807,-0.0262
00116453,Chapman University,2009,2008,UT,2,2,1,0.8729,0.1271
00116453,Chapman University,2009,2008,WA,2,2,1,0.744,0.256
00116453,Chapman University,2010,2009,CA,152,118,0.7763,0.7319,0.0444
00116453,Chapman University,2011,2010,CA,151,103,0.6821,0.7124,-0.0303
00116453,Chapman University,2012,2011,CA,174,136,0.7816,0.7215,0.0601
00116453,Chapman University,2013,2012,CA,170,136,0.8,0.7143,0.0857
00116453,Chapman University,2014,2013,CA,170,128,0.7529,0.7109,0.042
00116453,Chapman University,2014,2013,CO,1,1,1,0.8199,0.1801
00116453,Chapman University,2014,2013,NY,2,2,1,0.8476,0.1524
00116453,Chapman University,2014,2013,TX,1,1,1,0.8508,0.1492
00116453,Chapman University,2014,2013,UT,1,1,1,0.8736,0.1264
00116453,Chapman University,2015,2014,CA,139,104,0.7482,0.6605,0.0877
00116453,Chapman University,2015,2014,CT,1,1,1,0.8765,0.1235
00116453,Chapman University,2015,2014,HI,1,1,1,0.7412,0.2588
00116453,Chapman University,2015,2014,IL,3,3,1,0.8541,0.1459
00116453,Chapman University,2015,2014,MA,1,1,1,0.8315,0.1685
00116453,Chapman University,2016,2015,CA,126,90,0.7143,0.637,0.0773
00116453,Chapman University,2016,2015,CO,1,1,1,0.7575,0.2425
00116453,Chapman University,2016,2015,FL,1,1,1,0.6779,0.3221
00116453,Chapman University,2016,2015,NV,1,1,1,0.7154,0.2846
00116453,Chapman University,2016,2015,WA,2,2,1,0.8034,0.1966
00116453,Chapman University,2017,2016,CA,154,89,0.5779,0.6005,-0.0226
00116453,Chapman University,2018,2017,CA,142,91,0.6408,0.6619,-0.0211
00120529,Golden Gate University,2009,2008,CA,201,144,0.7164,0.7807,-0.0643
00120529,Golden Gate University,2010,2009,CA,173,111,0.6416,0.7319,-0.0903
00120529,Golden Gate University,2011,2010,CA,169,98,0.5799,0.7124,-0.1325
00120529,Golden Gate University,2012,2011,CA,182,113,0.6209,0.7215,-0.1006
00120529,Golden Gate University,2013,2012,CA,176,119,0.6761,0.7143,-0.0382
00120529,Golden Gate University,2014,2013,CA,203,113,0.5567,0.7109,-0.1542
00120529,Golden Gate University,2015,2014,CA,175,79,0.4514,0.6605,-0.2091
00120529,Golden Gate University,2016,2015,CA,144,56,0.3889,0.637,-0.2481
00120529,Golden Gate University,2017,2016,CA,104,33,0.3173,0.6005,-0.2832
00120529,Golden Gate University,2018,2017,CA,84,40,0.4762,0.6619,-0.1857
00121601,University of La Verne,2009,2008,CA,66,40,0.6061,0.7807,-0.1746
00121601,University of La Verne,2009,2008,CT,1,1,1,0.8828,0.1172
00121601,University of La Verne,2009,2008,IL,2,1,0.5,0.9094,-0.4094
00121601,University of La Verne,2009,2008,NY,1,1,1,0.8898,0.1102
00121601,University of La Verne,2009,2008,WA,1,0,,0.744,-0.744
00121601,University of La Verne,2010,2009,CA,64,19,0.2969,0.7319,-0.435
00121601,University of La Verne,2010,2009,DC,1,1,1,0.6817,0.3183
00121601,University of La Verne,2010,2009,FL,1,1,1,0.7781,0.2219
00121601,University of La Verne,2010,2009,MT,1,0,0,0.8864,-0.8864
00121601,University of La Verne,2010,2009,UT,2,1,0.5,0.8894,-0.3894
00121601,University of La Verne,2010,2009,WA,1,1,1,0.7442,0.2558
00121601,University of La Verne,2011,2010,CA,87,42,0.4828,0.7124,-0.2296
00121601,University of La Verne,2011,2010,CT,1,1,1,0.8476,0.1524
00121601,University of La Verne,2011,2010,NV,2,2,1,0.7272,0.2728
00121601,University of La Verne,2011,2010,UT,2,2,1,0.8935,0.1065
00121601,University of La Verne,2011,2010,WI,1,1,1,0.9293,0.0707
00121601,University of La Verne,2012,2011,AZ,1,0,0,0.7561,-0.7561
00121601,University of La Verne,2012,2011,CA,104,57,0.5481,0.7215,-0.1734
00121601,University of La Verne,2012,2011,CO,2,2,1,0.8602,0.1398
00121601,University of La Verne,2012,2011,NY,1,0,0,0.8503,-0.8503
00121601,University of La Verne,2012,2011,UT,1,1,1,0.8827,0.1173
00121601,University of La Verne,2013,2012,CA,84,50,0.5952,0.7143,-0.1191
00121601,University of La Verne,2013,2012,NY,2,2,1,0.8155,0.1845
00121601,University of La Verne,2014,2013,AK,1,1,1,0.7963,0.2037
00121601,University of La Verne,2014,2013,CA,92,51,0.5543,0.7109,-0.1566
00121601,University of La Verne,2014,2013,NV,1,1,1,0.7404,0.2596
00121601,University of La Verne,2015,2014,CA,45,33,0.7333,0.6605,0.0728
00121601,University of La Verne,2015,2014,CO,1,1,1,0.7838,0.2162
00121601,University of La Verne,2015,2014,UT,1,1,1,0.8683,0.1317
00121601,University of La Verne,2016,2015,CA,39,22,0.5641,0.637,-0.0729
00121601,University of La Verne,2016,2015,FL,1,0,0,0.6779,-0.6779
00121601,University of La Verne,2016,2015,NJ,1,0,0,0.7127,-0.7127
00121601,University of La Verne,2017,2016,CA,47,14,0.2979,0.6005,-0.3026
00121601,University of La Verne,2018,2017,CA,35,14,0.4,0.6619,-0.2619
00129500,Southwestern Law School,2009,2008,CA,274,191,0.6971,0.7807,-0.0836
00129500,Southwestern Law School,2010,2009,CA,276,169,0.6123,0.7319,-0.1196
00129500,Southwestern Law School,2011,2010,CA,280,164,0.5857,0.7124,-0.1267
00129500,Southwestern Law School,2012,2011,CA,290,176,0.6069,0.7215,-0.1146
00129500,Southwestern Law School,2013,2012,CA,330,202,0.6121,0.7143,-0.1022
00129500,Southwestern Law School,2014,2013,CA,279,205,0.7348,0.7109,0.0239
00129500,Southwestern Law School,2015,2014,CA,296,166,0.5608,0.6605,-0.0997
00129500,Southwestern Law School,2016,2015,CA,314,159,0.5064,0.637,-0.1306
00129500,Southwestern Law School,2017,2016,CA,305,116,0.3803,0.6005,-0.2202
00129500,Southwestern Law School,2018,2017,CA,285,149,0.5228,0.6619,-0.1391
00130503,Stanford University,2009,2008,CA,105,101,0.9619,0.7807,0.1812
00130503,Stanford University,2009,2008,NY,47,47,1,0.8898,0.1102
00130503,Stanford University,2010,2009,CA,104,97,0.9327,0.7319,0.2008
00130503,Stanford University,2010,2009,NY,35,34,0.9714,0.8651,0.1063
00130503,Stanford University,2011,2010,CA,96,94,0.9792,0.7124,0.2668
00130503,Stanford University,2011,2010,NY,52,52,1,0.8492,0.1508
00130503,Stanford University,2012,2011,CA,113,100,0.885,0.7215,0.1635
00130503,Stanford University,2012,2011,NY,46,45,0.9783,0.8503,0.128
00130503,Stanford University,2013,2012,CA,110,103,0.9364,0.7143,0.2221
00130503,Stanford University,2014,2013,CA,124,112,0.9032,0.7109,0.1923
00130503,Stanford University,2014,2013,NY,37,36,0.973,0.8476,0.1254
00130503,Stanford University,2015,2014,CA,114,99,0.8684,0.6605,0.2079
00130503,Stanford University,2015,2014,NY,47,46,0.9787,0.786,0.1927
00130503,Stanford University,2016,2015,CA,112,98,0.875,0.637,0.238
00130503,Stanford University,2016,2015,NY,40,39,0.975,0.7812,0.1938
00130503,Stanford University,2017,2016,CA,97,88,0.9072,0.6005,0.3067
00130503,Stanford University,2017,2016,NY,41,40,0.9756,0.8101,0.1655
00130503,Stanford University,2018,2017,CA,103,99,0.9612,0.6619,0.2993
00130503,Stanford University,2018,2017,NY,40,39,0.975,0.8392,0.1358
00131273,University of California-Berkeley,2009,2008,CA,228,200,0.8772,0.7807,0.0965
00131273,University of California-Berkeley,2010,2009,CA,215,197,0.9163,0.7319,0.1844
00131273,University of California-Berkeley,2011,2010,CA,213,196,0.9202,0.7124,0.2078
00131273,University of California-Berkeley,2012,2011,CA,227,197,0.8678,0.7215,0.1463
00131273,University of California-Berkeley,2013,2012,CA,234,204,0.8718,0.7143,0.1575
00131273,University of California-Berkeley,2014,2013,CA,217,186,0.8571,0.7109,0.1462
00131273,University of California-Berkeley,2015,2014,CA,214,188,0.8785,0.6605,0.218
00131273,University of California-Berkeley,2016,2015,CA,208,177,0.851,0.637,0.214
00131273,University of California-Berkeley,2017,2016,CA,236,196,0.8305,0.6005,0.23
00131273,University of California-Berkeley,2017,2016,NY,38,34,0.8947,0.8101,0.0846
00131273,University of California-Berkeley,2018,2017,CA,222,198,0.8919,0.6619,0.23
00131273,University of California-Berkeley,2018,2017,NY,41,41,1,0.8392,0.1608
00131373,University of California-Davis,2009,2008,CA,179,143,0.7989,0.7807,0.0182
00131373,University of California-Davis,2010,2009,CA,184,162,0.8804,0.7319,0.1485
00131373,University of California-Davis,2011,2010,CA,179,144,0.8045,0.7124,0.0921
00131373,University of California-Davis,2012,2011,CA,176,132,0.75,0.7215,0.0285
00131373,University of California-Davis,2013,2012,CA,189,148,0.7831,0.7143,0.0688
00131373,University of California-Davis,2014,2013,CA,187,155,0.8289,0.7109,0.118
00131373,University of California-Davis,2015,2014,CA,150,129,0.86,0.6605,0.1995
00131373,University of California-Davis,2016,2015,CA,178,132,0.7416,0.637,0.1046
00131373,University of California-Davis,2017,2016,CA,118,85,0.7203,0.6005,0.1198
00131373,University of California-Davis,2017,2016,NY,10,5,0.5,0.8101,-0.3101
00131373,University of California-Davis,2018,2017,CA,148,112,0.7568,0.6619,0.0949
00131400,University of California-Irvine,2013,2012,CA,51,46,0.902,0.7143,0.1877
00131400,University of California-Irvine,2013,2012,NY,2,2,1,0.8155,0.1845
00131400,University of California-Irvine,2013,2012,PA,1,1,1,0.8167,0.1833
00131400,University of California-Irvine,2014,2013,CA,72,56,0.7778,0.7109,0.0669
00131400,University of California-Irvine,2014,2013,HI,1,1,1,0.8148,0.1852
00131400,University of California-Irvine,2014,2013,MA,1,1,1,0.8761,0.1239
00131400,University of California-Irvine,2014,2013,NY,5,5,1,0.8476,0.1524
00131400,University of California-Irvine,2014,2013,TX,1,1,1,0.8508,0.1492
00131400,University of California-Irvine,2015,2014,CA,86,67,0.7791,0.6605,0.1186
00131400,University of California-Irvine,2015,2014,CO,1,0,0,0.7838,-0.7838
00131400,University of California-Irvine,2015,2014,OR,1,1,1,0.7364,0.2636
00131400,University of California-Irvine,2015,2014,TX,2,2,1,0.7742,0.2258
00131400,University of California-Irvine,2016,2015,AK,1,1,1,0.7579,0.2421
00131400,University of California-Irvine,2016,2015,CA,93,75,0.8065,0.637,0.1695
00131400,University of California-Irvine,2016,2015,DC,1,1,1,0.6636,0.3364
00131400,University of California-Irvine,2016,2015,IL,2,2,1,0.808,0.192
00131400,University of California-Irvine,2016,2015,NY,6,6,1,0.7812,0.2188
00131400,University of California-Irvine,2017,2016,CA,101,79,0.7822,0.6005,0.1817
00131400,University of California-Irvine,2018,2017,CA,87,70,0.8046,0.6619,0.1427
00131500,University of California-Los Angeles,2009,2008,CA,287,254,0.885,0.7807,0.1043
00131500,University of California-Los Angeles,2010,2009,CA,312,266,0.8526,0.7319,0.1207
00131500,University of California-Los Angeles,2011,2010,CA,294,245,0.8333,0.7124,0.1209
00131500,University of California-Los Angeles,2012,2011,CA,308,261,0.8474,0.7215,0.1259
00131500,University of California-Los Angeles,2013,2012,CA,295,260,0.8814,0.7143,0.1671
00131500,University of California-Los Angeles,2014,2013,CA,288,254,0.8819,0.7109,0.171
00131500,University of California-Los Angeles,2014,2013,NY,20,19,0.95,0.8476,0.1024
00131500,University of California-Los Angeles,2015,2014,CA,295,240,0.8136,0.6605,0.1531
00131500,University of California-Los Angeles,2015,2014,NY,9,9,1,0.786,0.214
00131500,University of California-Los Angeles,2016,2015,CA,288,245,0.8507,0.637,0.2137
00131500,University of California-Los Angeles,2016,2015,NY,29,29,1,0.7812,0.2188
00131500,University of California-Los Angeles,2017,2016,CA,278,226,0.8129,0.6005,0.2124
00131500,University of California-Los Angeles,2017,2016,NY,15,13,0.8667,0.8101,0.0566
00131500,University of California-Los Angeles,2018,2017,CA,299,257,0.8595,0.6619,0.1976
00131500,University of California-Los Angeles,2018,2017,NY,23,21,0.913,0.8392,0.0738
00132500,University of San Francisco,2009,2008,CA,214,184,0.8598,0.7807,0.0791
00132500,University of San Francisco,2010,2009,CA,180,141,0.7833,0.7319,0.0514
00132500,University of San Francisco,2011,2010,CA,169,124,0.7337,0.7124,0.0213
00132500,University of San Francisco,2012,2011,CA,204,147,0.7206,0.7215,-0.0009
00132500,University of San Francisco,2013,2012,CA,219,146,0.6667,0.7143,-0.0476
00132500,University of San Francisco,2014,2013,CA,189,140,0.7407,0.7109,0.0298
00132500,University of San Francisco,2014,2013,FL,1,1,1,0.7791,0.2209
00132500,University of San Francisco,2014,2013,LA,1,1,1,0.5872,0.4128
00132500,University of San Francisco,2014,2013,NV,1,1,1,0.7404,0.2596
00132500,University of San Francisco,2014,2013,NY,2,2,1,0.8476,0.1524
00132500,University of San Francisco,2014,2013,OH,1,1,1,0.8622,0.1378
00132500,University of San Francisco,2015,2014,CA,182,113,0.6209,0.6605,-0.0396
00132500,University of San Francisco,2015,2014,IL,1,1,1,0.8541,0.1459
00132500,University of San Francisco,2015,2014,NY,5,5,1,0.786,0.214
00132500,University of San Francisco,2015,2014,OR,2,2,1,0.7364,0.2636
00132500,University of San Francisco,2015,2014,UT,1,1,1,0.8683,0.1317
00132500,University of San Francisco,2016,2015,AZ,2,1,0.5,0.6581,-0.1581
00132500,University of San Francisco,2016,2015,CA,151,70,0.4636,0.637,-0.1734
00132500,University of San Francisco,2016,2015,MA,1,1,1,0.79,0.21
00132500,University of San Francisco,2016,2015,NY,2,2,1,0.7812,0.2188
00132500,University of San Francisco,2016,2015,OR,2,2,1,0.6786,0.3214
00132500,University of San Francisco,2017,2016,CA,132,46,0.3485,0.6005,-0.252
00132500,University of San Francisco,2018,2017,CA,141,73,0.5177,0.6619,-0.1442
00132600,Santa Clara University,2009,2008,CA,279,219,0.7849,0.7807,0.0042
00132600,Santa Clara University,2010,2009,CA,232,189,0.8147,0.7319,0.0828
00132600,Santa Clara University,2011,2010,CA,286,201,0.7028,0.7124,-0.0096
00132600,Santa Clara University,2012,2011,CA,284,219,0.7711,0.7215,0.0496
00132600,Santa Clara University,2013,2012,CA,281,200,0.7117,0.7143,-0.0026
00132600,Santa Clara University,2014,2013,CA,303,218,0.7195,0.7109,0.0086
00132600,Santa Clara University,2015,2014,CA,244,148,0.6066,0.6605,-0.0539
00132600,Santa Clara University,2016,2015,CA,208,142,0.6827,0.637,0.0457
00132600,Santa Clara University,2017,2016,CA,206,129,0.6262,0.6005,0.0257
00132600,Santa Clara University,2018,2017,CA,133,103,0.7744,0.6619,0.1125
00132800,University of Southern California,2009,2008,CA,182,163,0.8956,0.7807,0.1149
00132800,University of Southern California,2010,2009,CA,185,168,0.9081,0.7319,0.1762
00132800,University of Southern California,2011,2010,CA,174,157,0.9023,0.7124,0.1899
00132800,University of Southern California,2012,2011,CA,184,168,0.913,0.7215,0.1915
00132800,University of Southern California,2013,2012,CA,188,164,0.8723,0.7143,0.158
00132800,University of Southern California,2014,2013,CA,218,187,0.8578,0.7109,0.1469
00132800,University of Southern California,2014,2013,NY,3,3,1,0.8476,0.1524
00132800,University of Southern California,2015,2014,CA,199,172,0.8643,0.6605,0.2038
00132800,University of Southern California,2015,2014,NY,6,6,1,0.786,0.214
00132800,University of Southern California,2016,2015,CA,195,170,0.8718,0.637,0.2348
00132800,University of Southern California,2017,2016,CA,182,158,0.8681,0.6005,0.2676
00132800,University of Southern California,2018,2017,CA,185,162,0.8757,0.6619,0.2138
00132800,University of Southern California,2018,2017,NY,10,10,1,0.8392,0.1608
00132901,McGeorge School of Law,2009,2008,CA,277,221,0.7978,0.7807,0.0171
00132901,McGeorge School of Law,2010,2009,CA,239,185,0.7741,0.7319,0.0422
00132901,McGeorge School of Law,2011,2010,CA,286,199,0.6958,0.7124,-0.0166
00132901,McGeorge School of Law,2012,2011,CA,273,185,0.6777,0.7215,-0.0438
00132901,McGeorge School of Law,2013,2012,CA,298,212,0.7114,0.7143,-0.0029
00132901,McGeorge School of Law,2014,2013,CA,283,191,0.6749,0.7109,-0.036
00132901,McGeorge School of Law,2014,2013,NY,2,2,1,0.8476,0.1524
00132901,McGeorge School of Law,2015,2014,CA,186,118,0.6344,0.6605,-0.0261
00132901,McGeorge School of Law,2015,2014,CT,1,1,1,0.8765,0.1235
00132901,McGeorge School of Law,2015,2014,NV,3,2,0.6667,0.6791,-0.0124
00132901,McGeorge School of Law,2015,2014,NY,1,1,1,0.786,0.214
00132901,McGeorge School of Law,2015,2014,WA,1,1,1,0.8074,0.1926
00132901,McGeorge School of Law,2016,2015,CA,210,145,0.6905,0.637,0.0535
00132901,McGeorge School of Law,2016,2015,GA,2,2,1,0.7345,0.2655
00132901,McGeorge School of Law,2016,2015,NV,5,3,0.6,0.7154,-0.1154
00132901,McGeorge School of Law,2016,2015,NY,2,2,1,0.7812,0.2188
00132901,McGeorge School of Law,2016,2015,OR,2,0,0,0.6786,-0.6786
00132901,McGeorge School of Law,2017,2016,CA,139,82,0.5899,0.6005,-0.0106
00132901,McGeorge School of Law,2018,2017,CA,124,76,0.6129,0.6619,-0.049
00134201,Whittier Law School,2009,2008,CA,132,109,0.8258,0.7807,0.0451
00134201,Whittier Law School,2010,2009,CA,114,71,0.6228,0.7319,-0.1091
00134201,Whittier Law School,2010,2009,CO,2,2,1,0.8567,0.1433
