schoolid,schoolname,calendaryear,academicyear,totaljd1attrition,totaljd2attrition,totaljd3attrition,totaljd4attrition,jd1acadattrition,jd2acadattrition,jd3acadattrition,jd4acadattrition,jd1transattrition,jd2transattrition,jd3transattrition,jd4transattrition,jd1otherattrition,jd2otherattrition,jd3otherattrition,jd4otherattrition,pctjd1attrition,pctjd2attrition,pctjd3attrition,pctjd4attrition,jd1nontransamindianmen,jd1nontransamindianwomen,jd1nontransamindianother,jd1nontransamindian,jd1nontransasianmen,jd1nontransasianwomen,jd1nontransasianother,jd1nontransasian,jd1nontransblackmen,jd1nontransblackwomen,jd1nontransblackother,jd1nontransblack,jd1nontranshispanicmen,jd1nontranshispanicwomen,jd1nontranshispanicother,jd1nontranshispanic,jd1nontransminoritymen,jd1nontransminoritywomen,jd1nontransminorityother,jd1nontransminority,jd1nontransnathawmen,jd1nontransnathawwomen,jd1nontransnathawother,jd1nontransnathaw,jd1nontransnonresalienmen,jd1nontransnonresalienwomen,jd1nontransnonresalienother,jd1nontransnonresalien,jd1nontranstwormoremen,jd1nontranstwormorewomen,jd1nontranstwormoreother,jd1nontranstwormore,jd1nontransunknownmen,jd1nontransunknownwomen,jd1nontransunknownother,jd1nontransunknown,jd1nontranswhitemen,jd1nontranswhitewomen,jd1nontranswhiteother,jd1nontranswhite,jd1nontransmen,jd1nontranswomen,jd1nontransother,jd1nontransattrition,jd2nontransamindianmen,jd2nontransamindianwomen,jd2nontransamindianother,jd2nontransamindian,jd2nontransasianmen,jd2nontransasianwomen,jd2nontransasianother,jd2nontransasian,jd2nontransblackmen,jd2nontransblackwomen,jd2nontransblackother,jd2nontransblack,jd2nontranshispanicmen,jd2nontranshispanicwomen,jd2nontranshispanicother,jd2nontranshispanic,jd2nontransminoritymen,jd2nontransminoritywomen,jd2nontransminorityother,jd2nontransminority,jd2nontransnathawmen,jd2nontransnathawwomen,jd2nontransnathawother,jd2nontransnathaw,jd2nontransnonresalienmen,jd2nontransnonresalienwomen,jd2nontransnonresalienother,jd2nontransnonresalien,jd2nontranstwormoremen,jd2nontranstwormorewomen,jd2nontranstwormoreother,jd2nontranstwormore,jd2nontransunknownmen,jd2nontransunknownwomen,jd2nontransunknownother,jd2nontransunknown,jd2nontranswhitemen,jd2nontranswhitewomen,jd2nontranswhiteother,jd2nontranswhite,jd2nontransmen,jd2nontranswomen,jd2nontransother,jd2nontransattrition,jd3nontransamindianmen,jd3nontransamindianwomen,jd3nontransamindianother,jd3nontransamindian,jd3nontransasianmen,jd3nontransasianwomen,jd3nontransasianother,jd3nontransasian,jd3nontransblackmen,jd3nontransblackwomen,jd3nontransblackother,jd3nontransblack,jd3nontranshispanicmen,jd3nontranshispanicwomen,jd3nontranshispanicother,jd3nontranshispanic,jd3nontransminoritymen,jd3nontransminoritywomen,jd3nontransminorityother,jd3nontransminority,jd3nontransnathawmen,jd3nontransnathawwomen,jd3nontransnathawother,jd3nontransnathaw,jd3nontransnonresalienmen,jd3nontransnonresalienwomen,jd3nontransnonresalienother,jd3nontransnonresalien,jd3nontranstwormoremen,jd3nontranstwormorewomen,jd3nontranstwormoreother,jd3nontranstwormore,jd3nontransunknownmen,jd3nontransunknownwomen,jd3nontransunknownother,jd3nontransunknown,jd3nontranswhitemen,jd3nontranswhitewomen,jd3nontranswhiteother,jd3nontranswhite,jd3nontransmen,jd3nontranswomen,jd3nontransother,jd3nontransattrition,pctjd1nontransattrition,pctjd1transattrition,pctjdattrition_3_4,pctjdnontransattrition_2_3
00103600,Samford University,2015,2014,12,1,0,0,0,1,0,0,7,0,0,0,5,0,0,0,0.076,0.007,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.044,0,0.004
00103600,Samford University,2016,2015,15,1,0,0,3,0,0,0,8,0,0,0,4,1,0,0,0.099,0.007,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.026,0.053,0,0.003
00103600,Samford University,2017,2016,13,,,,,,,,10,,,,,,,,0.085,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.065,,0
00105100,University of Alabama,2011,2010,24,2,0,0,4,0,0,0,,,,,20,2,0,0,0.147,0.011,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
00105100,University of Alabama,2012,2011,11,2,2,0,6,1,0,0,,,,,5,1,2,0,0.067,0.012,0.011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,
00105100,University of Alabama,2013,2012,11,5,1,0,2,1,0,0,,,,,9,4,1,0,0.073,0.03,0.006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,
00105100,University of Alabama,2014,2013,12,3,1,0,3,1,1,0,4,1,0,0,5,1,0,0,0.083,0.021,0.006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.028,0.028,0.006,0.009
00105100,University of Alabama,2015,2014,8,2,0,0,5,1,0,0,1,0,0,0,2,1,0,0,0.06,0.014,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.045,0.008,0,0.007
00105100,University of Alabama,2016,2015,17,1,0,0,1,0,0,0,10,0,0,0,6,1,0,0,0.111,0.008,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.013,0.065,0,0.004
00105100,University of Alabama,2017,2016,8,,,,,,,,4,,,,,,,,0.06,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,,0.004
00108100,Arizona State University,2011,2010,7,8,1,0,1,0,0,0,,,,,6,8,1,0,0.037,0.039,0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,
00108100,Arizona State University,2012,2011,8,14,0,0,1,0,0,0,,,,,7,14,0,0,0.047,0.068,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
00108100,Arizona State University,2013,2012,2,10,3,0,1,0,0,0,,,,,1,10,3,0,0.013,0.048,0.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,
00108100,Arizona State University,2014,2013,3,9,1,0,0,0,0,0,0,3,0,0,3,6,1,0,0.023,0.043,0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.047,0,0.004,0.016
00108100,Arizona State University,2015,2014,3,7,1,0,1,0,0,0,0,4,0,0,2,3,1,0,0.021,0.034,0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.028,0,0.005,0.009
00108100,Arizona State University,2016,2015,8,9,3,0,2,0,0,0,0,6,0,0,6,3,3,0,0.037,0.045,0.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.023,0,0.014,0.015
00108100,Arizona State University,2017,2016,4,,,,,,,,0,,,,,,,,0.018,,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,2,0,4,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,,0.006
00108300,University of Arizona,2011,2010,0,15,0,0,0,0,0,0,,,,,0,15,0,0,0,0.101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
00108300,University of Arizona,2012,2011,15,0,0,0,0,0,0,0,,,,,15,0,0,0,0.11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
00108300,University of Arizona,2013,2012,5,0,0,0,0,0,0,0,,,,,5,0,0,0,0.046,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
00108300,University of Arizona,2014,2013,5,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0.048,0.007,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.048,0,0.003
00108300,University of Arizona,2015,2014,5,2,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0.048,0.015,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.038,0,0
00108300,University of Arizona,2016,2015,6,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0.059,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.049,0,0
00108300,University of Arizona,2017,2016,3,,,,,,,,2,,,,,,,,0.029,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.019,,0
00110101,University of Arkansas-Little Rock,2011,2010,9,10,2,0,1,2,0,0,,,,,8,8,2,0,0.057,0.062,0.013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,
00110101,University of Arkansas-Little Rock,2012,2011,12,16,1,0,2,6,1,0,,,,,10,10,0,0,0.083,0.095,0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,
00110101,University of Arkansas-Little Rock,2013,2012,10,10,0,0,1,4,0,0,,,,,9,6,0,0,0.067,0.075,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
00110101,University of Arkansas-Little Rock,2014,2013,11,12,3,1,0,1,0,0,0,4,0,0,11,7,3,1,0.079,0.082,0.025,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.05,0,0.057,0.04
00110101,University of Arkansas-Little Rock,2015,2014,14,5,2,0,7,2,0,0,3,2,0,0,4,1,2,0,0.112,0.034,0.016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.064,0.024,0.016,0.017
00110101,University of Arkansas-Little Rock,2016,2015,8,3,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0.067,0.025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.059,0,0,0.011
00110101,University of Arkansas-Little Rock,2017,2016,19,,,,,,,,5,,,,,,,,0.137,,,,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,11,7,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,3,0.101,0.036,,0.012
00110800,University of Arkansas-Fayetteville,2011,2010,11,2,0,0,1,1,0,0,,,,,10,1,0,0,0.081,0.015,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
00110800,University of Arkansas-Fayetteville,2012,2011,12,1,0,0,7,0,0,0,,,,,5,1,0,0,0.089,0.007,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
00110800,University of Arkansas-Fayetteville,2013,2012,10,3,0,0,6,0,0,0,,,,,4,3,0,0,0.076,0.023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
00110800,University of Arkansas-Fayetteville,2014,2013,11,1,0,0,5,0,0,0,1,1,0,0,5,0,0,0,0.1,0.008,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.045,0.009,0,0
00110800,University of Arkansas-Fayetteville,2015,2014,7,1,0,0,2,1,0,0,1,0,0,0,4,0,0,0,0.057,0.009,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.016,0.008,0,0.004
