schoolid,schoolname,calendaryear,firsttimebaryear,gradtotal,graddidnottake,gradnoinfo,prioryrfirsttimetaker,totalfirsttimetakers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,ultimatebaryear,ultimatecohorttotal,ultimatedidnottake,ultimatenoinfo,ultimatetakers,ultimatepassers,ultimateschoolpasspct
00108100,Arizona State University,2012,2011,,,,,197,0.8223,0.858,0.7561,0.1019,,,,,,,
00108100,Arizona State University,2013,2012,,,,,200,0.845,0.8639,0.8021,0.0618,,,,,,,
00108100,Arizona State University,2014,2013,,,,,207,0.9179,0.8789,0.7823,0.0966,,,,,,,
00108100,Arizona State University,2015,2014,,,,,174,0.9828,0.8947,0.7366,0.1581,,,,,,,
00108100,Arizona State University,2016,2015,,,,,214,0.8598,0.8478,0.6581,0.1897,,,,,,,
00108100,Arizona State University,2017,2016,173,20,4,32,181,,0.7735,0.6323,0.1412,,,,,,,
00108100,Arizona State University,2018,2017,215,41,0,13,187,,0.754,0.6494,0.1046,2015,219,5,2,212,198,0.934
00108300,University of Arizona,2009,2008,,,,,137,0.8613,0.9153,0.8249,0.0904,,,,,,,
00108300,University of Arizona,2010,2009,,,,,139,0.7122,0.9293,0.7976,0.1317,,,,,,,
00108300,University of Arizona,2011,2010,,,,,136,0.8382,0.9386,0.7956,0.143,,,,,,,
00108300,University of Arizona,2012,2011,,,,,141,0.7163,0.8515,0.7561,0.0954,,,,,,,
00108300,University of Arizona,2013,2012,,,,,132,0.7121,0.9149,0.8021,0.1128,,,,,,,
00108300,University of Arizona,2014,2013,,,,,151,0.7483,0.8053,0.7758,0.0295,,,,,,,
00108300,University of Arizona,2015,2014,,,,,138,0.7391,0.8824,0.7366,0.1458,,,,,,,
00108300,University of Arizona,2016,2015,,,,,138,0.7101,0.8061,0.6581,0.148,,,,,,,
00108300,University of Arizona,2017,2016,108,13,0,22,117,,0.6838,0.6578,0.026,,,,,,,
00108300,University of Arizona,2018,2017,127,11,1,6,121,,0.7272,0.6706,0.0566,2015,158,9,1,148,128,0.8649
00110101,University of Arkansas-Little Rock,2009,2008,,,,,124,0.8629,0.8131,0.8253,-0.0122,,,,,,,
00110101,University of Arkansas-Little Rock,2010,2009,,,,,129,0.7984,0.6408,0.7422,-0.1014,,,,,,,
00110101,University of Arkansas-Little Rock,2011,2010,,,,,119,0.8235,0.6837,0.7248,-0.0411,,,,,,,
00110101,University of Arkansas-Little Rock,2012,2011,,,,,142,0.8028,0.8333,0.8344,-0.0011,,,,,,,
00110101,University of Arkansas-Little Rock,2013,2012,,,,,141,0.844,0.7563,0.7654,-0.0091,,,,,,,
00110101,University of Arkansas-Little Rock,2014,2013,,,,,140,0.85,0.7058,0.7727,-0.0669,,,,,,,
00110101,University of Arkansas-Little Rock,2015,2014,,,,,131,0.7863,0.7476,0.7558,-0.0082,,,,,,,
00110101,University of Arkansas-Little Rock,2016,2015,,,,,116,0.8362,0.7629,0.7669,-0.004,,,,,,,
00110101,University of Arkansas-Little Rock,2017,2016,129,10,5,3,117,,0.6667,0.6958,-0.0291,,,,,,,
00110101,University of Arkansas-Little Rock,2018,2017,120,6,3,8,119,,0.7647,0.7722,-0.0075,2015,123,6,5,112,99,0.8839
00110800,University of Arkansas-Fayetteville,2009,2008,,,,,123,0.7236,0.8202,0.8253,-0.0051,,,,,,,
00110800,University of Arkansas-Fayetteville,2010,2009,,,,,118,0.7881,0.8495,0.7422,0.1073,,,,,,,
00110800,University of Arkansas-Fayetteville,2011,2010,,,,,128,0.7422,0.7474,0.7248,0.0226,,,,,,,
00110800,University of Arkansas-Fayetteville,2012,2011,,,,,115,0.8,0.8261,0.8352,-0.0091,,,,,,,
00110800,University of Arkansas-Fayetteville,2013,2012,,,,,124,0.8226,0.8235,0.7639,0.0596,,,,,,,
00110800,University of Arkansas-Fayetteville,2014,2013,,,,,134,0.7313,0.8571,0.7632,0.0939,,,,,,,
00110800,University of Arkansas-Fayetteville,2015,2014,,,,,120,0.8833,0.7641,0.7645,-0.0004,,,,,,,
00110800,University of Arkansas-Fayetteville,2016,2015,,,,,116,0.8534,0.7879,0.7665,0.0214,,,,,,,
00110800,University of Arkansas-Fayetteville,2017,2016,100,10,0,4,94,,0.7553,0.7213,0.034,,,,,,,
00110800,University of Arkansas-Fayetteville,2018,2017,119,14,3,0,102,,0.8431,0.7817,0.0614,2015,137,6,1,130,112,0.8615
00116453,Chapman University,2009,2008,,,,,175,1,0.7657,0.7827,-0.017,,,,,,,
00116453,Chapman University,2010,2009,,,,,159,0.956,0.7763,0.7319,0.0444,,,,,,,
00116453,Chapman University,2011,2010,,,,,158,0.9557,0.6821,0.7124,-0.0303,,,,,,,
00116453,Chapman University,2012,2011,,,,,180,0.9667,0.7816,0.7215,0.0601,,,,,,,
00116453,Chapman University,2013,2012,,,,,174,0.977,0.8,0.7143,0.0857,,,,,,,
00116453,Chapman University,2014,2013,,,,,178,1,0.7639,0.7166,0.0473,,,,,,,
00116453,Chapman University,2015,2014,,,,,146,0.9932,0.7586,0.6677,0.0909,,,,,,,
00116453,Chapman University,2016,2015,,,,,132,1,0.7274,0.6419,0.0855,,,,,,,
00116453,Chapman University,2017,2016,158,3,0,1,156,,0.5833,0.6027,-0.0194,,,,,,,
00116453,Chapman University,2018,2017,149,6,0,1,144,,0.6388,0.6634,-0.0246,2015,132,0,6,126,118,0.9365
00120529,Golden Gate University,2009,2008,,,,,208,0.9663,0.7164,0.7807,-0.0643,,,,,,,
00120529,Golden Gate University,2010,2009,,,,,176,0.983,0.6416,0.7319,-0.0903,,,,,,,
00120529,Golden Gate University,2011,2010,,,,,174,0.9713,0.5799,0.7124,-0.1325,,,,,,,
00120529,Golden Gate University,2012,2011,,,,,184,0.9891,0.6209,0.7215,-0.1006,,,,,,,
00120529,Golden Gate University,2013,2012,,,,,189,0.9312,0.6761,0.7143,-0.0382,,,,,,,
00120529,Golden Gate University,2014,2013,,,,,204,0.9951,0.5567,0.7109,-0.1542,,,,,,,
00120529,Golden Gate University,2015,2014,,,,,180,0.9722,0.4514,0.6605,-0.2091,,,,,,,
00120529,Golden Gate University,2016,2015,,,,,150,0.96,0.3889,0.637,-0.2481,,,,,,,
00120529,Golden Gate University,2017,2016,103,0,17,27,113,,0.354,0.6109,-0.2569,,,,,,,
00120529,Golden Gate University,2018,2017,94,0,22,16,88,,0.4886,0.6641,-0.1755,2015,161,0,6,155,112,0.7226
00121601,University of La Verne,2009,2008,,,,,71,1,0.6057,0.7762,-0.1705,,,,,,,
00121601,University of La Verne,2010,2009,,,,,72,1,0.3473,0.7429,-0.3956,,,,,,,
00121601,University of La Verne,2011,2010,,,,,95,1,0.5263,0.7228,-0.1965,,,,,,,
00121601,University of La Verne,2012,2011,,,,,110,0.9909,0.5505,0.727,-0.1765,,,,,,,
00121601,University of La Verne,2013,2012,,,,,92,0.9348,0.6047,0.7167,-0.112,,,,,,,
00121601,University of La Verne,2014,2013,,,,,94,1,0.5637,0.7122,-0.1485,,,,,,,
00121601,University of La Verne,2015,2014,,,,,47,1,0.7447,0.6676,0.0771,,,,,,,
00121601,University of La Verne,2016,2015,,,,,41,1,0.5366,0.6398,-0.1032,,,,,,,
00121601,University of La Verne,2017,2016,52,4,0,1,49,,0.3266,0.6083,-0.2817,,,,,,,
00121601,University of La Verne,2018,2017,34,1,0,5,38,,0.4211,0.6702,-0.2491,2015,38,0,0,38,30,0.7895
00129500,Southwestern Law School,2009,2008,,,,,285,0.9614,0.6971,0.7807,-0.0836,,,,,,,
00129500,Southwestern Law School,2010,2009,,,,,286,0.965,0.6123,0.7319,-0.1196,,,,,,,
00129500,Southwestern Law School,2011,2010,,,,,288,0.9722,0.5857,0.7124,-0.1267,,,,,,,
00129500,Southwestern Law School,2012,2011,,,,,290,1,0.6069,0.7215,-0.1146,,,,,,,
00129500,Southwestern Law School,2013,2012,,,,,333,0.991,0.6121,0.7143,-0.1022,,,,,,,
00129500,Southwestern Law School,2014,2013,,,,,287,0.9721,0.7348,0.7109,0.0239,,,,,,,
00129500,Southwestern Law School,2015,2014,,,,,305,0.9705,0.5608,0.6605,-0.0997,,,,,,,
00129500,Southwestern Law School,2016,2015,,,,,315,0.9968,0.5064,0.637,-0.1306,,,,,,,
00129500,Southwestern Law School,2017,2016,319,47,3,42,311,,0.3826,0.6033,-0.2207,,,,,,,
00129500,Southwestern Law School,2018,2017,290,44,2,44,288,,0.5278,0.6625,-0.1347,2015,306,0,8,298,247,0.8289
00130503,Stanford University,2009,2008,,,,,160,0.95,0.9737,0.8144,0.1593,,,,,,,
00130503,Stanford University,2010,2009,,,,,180,0.7722,0.9424,0.7654,0.177,,,,,,,
00130503,Stanford University,2011,2010,,,,,152,0.9737,0.9866,0.7605,0.2261,,,,,,,
00130503,Stanford University,2012,2011,,,,,173,0.9191,0.912,0.7588,0.1532,,,,,,,
00130503,Stanford University,2013,2012,,,,,150,0.7333,0.9364,0.7143,0.2221,,,,,,,
00130503,Stanford University,2014,2013,,,,,173,0.9306,0.9192,0.7423,0.1769,,,,,,,
00130503,Stanford University,2015,2014,,,,,175,0.92,0.9006,0.6972,0.2034,,,,,,,
00130503,Stanford University,2016,2015,,,,,189,0.8042,0.9013,0.675,0.2263,,,,,,,
00130503,Stanford University,2017,2016,185,9,7,7,176,,0.9318,0.6824,0.2494,,,,,,,
00130503,Stanford University,2018,2017,194,14,9,5,176,,0.9659,0.7186,0.2473,2015,191,3,4,184,182,0.9891
00131273,University of California-Berkeley,2009,2008,,,,,270,0.8444,0.8772,0.7807,0.0965,,,,,,,
00131273,University of California-Berkeley,2010,2009,,,,,258,0.8333,0.9163,0.7319,0.1844,,,,,,,
00131273,University of California-Berkeley,2011,2010,,,,,258,0.8256,0.9202,0.7124,0.2078,,,,,,,
00131273,University of California-Berkeley,2012,2011,,,,,295,0.7695,0.8678,0.7215,0.1463,,,,,,,
00131273,University of California-Berkeley,2013,2012,,,,,307,0.7622,0.8718,0.7143,0.1575,,,,,,,
00131273,University of California-Berkeley,2014,2013,,,,,294,0.7381,0.8571,0.7109,0.1462,,,,,,,
00131273,University of California-Berkeley,2015,2014,,,,,289,0.7405,0.8785,0.6605,0.218,,,,,,,
00131273,University of California-Berkeley,2016,2015,,,,,271,0.7675,0.851,0.637,0.214,,,,,,,
00131273,University of California-Berkeley,2017,2016,331,13,14,14,318,,0.8616,0.646,0.2156,,,,,,,
00131273,University of California-Berkeley,2018,2017,305,19,1,10,295,,0.9119,0.6979,0.214,2015,281,6,8,267,261,0.9775
00131373,University of California-Davis,2009,2008,,,,,199,0.8995,0.7989,0.7807,0.0182,,,,,,,
00131373,University of California-Davis,2010,2009,,,,,195,0.9436,0.8804,0.7319,0.1485,,,,,,,
00131373,University of California-Davis,2011,2010,,,,,192,0.9323,0.8045,0.7124,0.0921,,,,,,,
00131373,University of California-Davis,2012,2011,,,,,196,0.898,0.75,0.7215,0.0285,,,,,,,
00131373,University of California-Davis,2013,2012,,,,,203,0.931,0.7831,0.7143,0.0688,,,,,,,
00131373,University of California-Davis,2014,2013,,,,,200,0.935,0.8289,0.7109,0.118,,,,,,,
00131373,University of California-Davis,2015,2014,,,,,160,0.9375,0.86,0.6605,0.1995,,,,,,,
00131373,University of California-Davis,2016,2015,,,,,186,0.957,0.7416,0.637,0.1046,,,,,,,
00131373,University of California-Davis,2017,2016,141,14,1,7,133,,0.7067,0.6216,0.0851,,,,,,,
00131373,University of California-Davis,2018,2017,165,8,4,8,161,,0.7702,0.6717,0.0985,2015,188,5,0,183,166,0.9071
00131400,University of California-Irvine,2013,2012,,,,,54,1,0.9074,0.7199,0.1875,,,,,,,
00131400,University of California-Irvine,2014,2013,,,,,80,1,0.8,0.7246,0.0754,,,,,,,
00131400,University of California-Irvine,2015,2014,,,,,90,1,0.7778,0.6652,0.1126,,,,,,,
00131400,University of California-Irvine,2016,2015,,,,,109,1,0.8166,0.6577,0.1589,,,,,,,
00131400,University of California-Irvine,2017,2016,115,4,0,6,117,,0.7949,0.6234,0.1715,,,,,,,
00131400,University of California-Irvine,2018,2017,95,3,0,3,95,,0.8,0.6694,0.1306,2015,114,7,0,107,101,0.9439
00131500,University of California-Los Angeles,2009,2008,,,,,311,0.9228,0.885,0.7807,0.1043,,,,,,,
00131500,University of California-Los Angeles,2010,2009,,,,,352,0.8864,0.8526,0.7319,0.1207,,,,,,,
00131500,University of California-Los Angeles,2011,2010,,,,,346,0.8497,0.8333,0.7124,0.1209,,,,,,,
00131500,University of California-Los Angeles,2012,2011,,,,,324,0.9506,0.8474,0.7215,0.1259,,,,,,,
00131500,University of California-Los Angeles,2013,2012,,,,,319,0.9248,0.8814,0.7143,0.1671,,,,,,,
00131500,University of California-Los Angeles,2014,2013,,,,,326,0.9448,0.8863,0.7197,0.1666,,,,,,,
00131500,University of California-Los Angeles,2015,2014,,,,,328,0.9268,0.8191,0.6642,0.1549,,,,,,,
00131500,University of California-Los Angeles,2016,2015,,,,,326,0.9724,0.8644,0.6502,0.2142,,,,,,,
00131500,University of California-Los Angeles,2017,2016,318,8,18,24,316,,0.8259,0.6197,0.2062,,,,,,,
00131500,University of California-Los Angeles,2018,2017,350,0,29,24,345,,0.8724,0.6809,0.1915,2015,336,0,16,320,309,0.9656
00132500,University of San Francisco,2009,2008,,,,,222,0.964,0.8598,0.7807,0.0791,,,,,,,
00132500,University of San Francisco,2010,2009,,,,,189,0.9524,0.7833,0.7319,0.0514,,,,,,,
00132500,University of San Francisco,2011,2010,,,,,169,1,0.7337,0.7124,0.0213,,,,,,,
00132500,University of San Francisco,2012,2011,,,,,204,1,0.7206,0.7215,-0.0009,,,,,,,
00132500,University of San Francisco,2013,2012,,,,,219,1,0.6667,0.7143,-0.0476,,,,,,,
00132500,University of San Francisco,2014,2013,,,,,197,1,0.7514,0.7143,0.0371,,,,,,,
00132500,University of San Francisco,2015,2014,,,,,196,1,0.6429,0.6694,-0.0265,,,,,,,
00132500,University of San Francisco,2016,2015,,,,,160,0.9875,0.4811,0.6406,-0.1595,,,,,,,
00132500,University of San Francisco,2017,2016,136,20,2,21,135,,0.3482,0.6043,-0.2561,,,,,,,
00132500,University of San Francisco,2018,2017,156,24,0,14,146,,0.5205,0.6657,-0.1452,2015,167,0,4,163,132,0.8098
00132600,Santa Clara University,2009,2008,,,,,285,0.9789,0.7849,0.7807,0.0042,,,,,,,
00132600,Santa Clara University,2010,2009,,,,,274,0.8467,0.8147,0.7319,0.0828,,,,,,,
00132600,Santa Clara University,2011,2010,,,,,322,0.8882,0.7028,0.7124,-0.0096,,,,,,,
00132600,Santa Clara University,2012,2011,,,,,301,0.9435,0.7711,0.7215,0.0496,,,,,,,
00132600,Santa Clara University,2013,2012,,,,,299,0.9398,0.7117,0.7143,-0.0026,,,,,,,
00132600,Santa Clara University,2014,2013,,,,,317,0.9558,0.7195,0.7109,0.0086,,,,,,,
00132600,Santa Clara University,2015,2014,,,,,266,0.9173,0.6066,0.6605,-0.0539,,,,,,,
00132600,Santa Clara University,2016,2015,,,,,213,0.9765,0.6827,0.637,0.0457,,,,,,,
00132600,Santa Clara University,2017,2016,202,22,5,40,215,,0.6372,0.6052,0.032,,,,,,,
00132600,Santa Clara University,2018,2017,133,17,2,25,139,,0.7697,0.6645,0.1052,2015,213,1,1,211,182,0.8626
00132800,University of Southern California,2009,2008,,,,,207,0.8792,0.8956,0.7807,0.1149,,,,,,,
00132800,University of Southern California,2010,2009,,,,,205,0.9024,0.9081,0.7319,0.1762,,,,,,,
00132800,University of Southern California,2011,2010,,,,,195,0.8923,0.9023,0.7124,0.1899,,,,,,,
00132800,University of Southern California,2012,2011,,,,,200,0.92,0.913,0.7215,0.1915,,,,,,,
00132800,University of Southern California,2013,2012,,,,,209,0.8995,0.8723,0.7143,0.158,,,,,,,
00132800,University of Southern California,2014,2013,,,,,222,0.9955,0.8598,0.7128,0.147,,,,,,,
00132800,University of Southern California,2015,2014,,,,,214,0.9579,0.8683,0.6642,0.2041,,,,,,,
00132800,University of Southern California,2016,2015,,,,,211,0.9242,0.8718,0.637,0.2348,,,,,,,
00132800,University of Southern California,2017,2016,197,4,4,5,194,,0.8711,0.6111,0.26,,,,,,,
00132800,University of Southern California,2018,2017,211,8,1,4,206,,0.8884,0.6742,0.2142,2015,216,5,0,211,199,0.9431
00132901,McGeorge School of Law,2009,2008,,,,,301,0.9203,0.7978,0.7807,0.0171,,,,,,,
00132901,McGeorge School of Law,2010,2009,,,,,256,0.9336,0.7741,0.7319,0.0422,,,,,,,
00132901,McGeorge School of Law,2011,2010,,,,,298,0.9597,0.6958,0.7124,-0.0166,,,,,,,
00132901,McGeorge School of Law,2012,2011,,,,,293,0.9317,0.6777,0.7215,-0.0438,,,,,,,
00132901,McGeorge School of Law,2013,2012,,,,,321,0.9283,0.7114,0.7143,-0.0029,,,,,,,
00132901,McGeorge School of Law,2014,2013,,,,,286,0.9965,0.6772,0.7118,-0.0346,,,,,,,
00132901,McGeorge School of Law,2015,2014,,,,,192,1,0.6406,0.6634,-0.0228,,,,,,,
00132901,McGeorge School of Law,2016,2015,,,,,228,1,0.6932,0.646,0.0472,,,,,,,
00132901,McGeorge School of Law,2017,2016,138,15,5,25,143,,0.5874,0.6041,-0.0167,,,,,,,
00132901,McGeorge School of Law,2018,2017,130,2,14,13,127,,0.622,0.6642,-0.0422,2015,218,1,9,208,171,0.8221
00134201,Whittier Law School,2009,2008,,,,,166,0.7952,0.8258,0.7807,0.0451,,,,,,,
00134201,Whittier Law School,2010,2009,,,,,167,0.7665,0.6561,0.7401,-0.084,,,,,,,
00134201,Whittier Law School,2011,2010,,,,,144,0.8958,0.5273,0.7156,-0.1883,,,,,,,
00134201,Whittier Law School,2012,2011,,,,,125,0.992,0.5646,0.7237,-0.1591,,,,,,,
00134201,Whittier Law School,2013,2012,,,,,168,0.9643,0.6914,0.7158,-0.0244,,,,,,,
00134201,Whittier Law School,2014,2013,,,,,204,0.9853,0.6569,0.7148,-0.0579,,,,,,,
00134201,Whittier Law School,2015,2014,,,,,189,0.9788,0.4703,0.6639,-0.1936,,,,,,,
00134201,Whittier Law School,2016,2015,,,,,135,0.9926,0.3807,0.6381,-0.2574,,,,,,,
00134201,Whittier Law School,2017,2016,127,12,4,17,128,,0.2266,0.6016,-0.375,,,,,,,
00134201,Whittier Law School,2018,2017,150,3,21,13,139,,0.3526,0.6663,-0.3137,2015,140,0,4,136,101,0.7426
00137000,University of Colorado,2009,2008,,,,,155,0.8645,0.9328,0.8329,0.0999,,,,,,,
00137000,University of Colorado,2010,2009,,,,,166,0.8494,0.9291,0.8567,0.0724,,,,,,,
00137000,University of Colorado,2011,2010,,,,,168,0.875,0.9524,0.8279,0.1245,,,,,,,
00137000,University of Colorado,2012,2011,,,,,173,0.8844,0.9346,0.8602,0.0744,,,,,,,
00137000,University of Colorado,2013,2012,,,,,168,0.9464,0.8868,0.8385,0.0483,,,,,,,
00137000,University of Colorado,2014,2013,,,,,171,0.924,0.8924,0.8199,0.0725,,,,,,,
00137000,University of Colorado,2015,2014,,,,,157,0.9045,0.8239,0.7838,0.0401,,,,,,,
00137000,University of Colorado,2016,2015,,,,,158,0.9177,0.8759,0.7575,0.1184,,,,,,,
00137000,University of Colorado,2017,2016,180,12,0,9,177,,0.8136,0.7554,0.0582,,,,,,,
00137000,University of Colorado,2018,2017,167,12,0,8,163,,0.8773,0.7554,0.1219,2015,157,4,0,153,147,0.9608
00137100,University of Denver,2009,2008,,,,,352,0.767,0.8037,0.8329,-0.0292,,,,,,,
00137100,University of Denver,2010,2009,,,,,317,0.8959,0.8768,0.8567,0.0201,,,,,,,
00137100,University of Denver,2011,2010,,,,,366,0.7896,0.8616,0.8279,0.0337,,,,,,,
00137100,University of Denver,2012,2011,,,,,288,0.8993,0.8803,0.8602,0.0201,,,,,,,
00137100,University of Denver,2013,2012,,,,,313,0.9073,0.8873,0.8385,0.0488,,,,,,,
00137100,University of Denver,2014,2013,,,,,257,0.9222,0.8565,0.8199,0.0366,,,,,,,
00137100,University of Denver,2015,2014,,,,,255,0.9529,0.8354,0.7838,0.0516,,,,,,,
00137100,University of Denver,2016,2015,,,,,257,0.9494,0.8361,0.7575,0.0786,,,,,,,
00137100,University of Denver,2017,2016,279,55,12,46,258,,0.8334,0.7586,0.0748,,,,,,,
00137100,University of Denver,2018,2017,251,56,5,55,245,,0.7837,0.7537,0.03,2015,271,12,5,254,239,0.9409
00140201,Quinnipiac University,2009,2008,,,,,120,0.85,0.9314,0.8828,0.0486,,,,,,,
00140201,Quinnipiac University,2010,2009,,,,,112,0.7768,0.8966,0.8556,0.041,,,,,,,
00140201,Quinnipiac University,2011,2010,,,,,108,0.713,0.8831,0.8476,0.0355,,,,,,,
00140201,Quinnipiac University,2012,2011,,,,,133,0.7744,0.8058,0.8459,-0.0401,,,,,,,
00140201,Quinnipiac University,2013,2012,,,,,139,0.8345,0.8879,0.8457,0.0422,,,,,,,
00140201,Quinnipiac University,2014,2013,,,,,163,0.7239,0.822,0.8254,-0.0034,,,,,,,
00140201,Quinnipiac University,2015,2014,,,,,140,0.7214,0.8812,0.8765,0.0047,,,,,,,
00140201,Quinnipiac University,2016,2015,,,,,113,0.7522,0.8941,0.8414,0.0527,,,,,,,
00140201,Quinnipiac University,2017,2016,68,5,4,24,83,,0.6988,0.7766,-0.0778,,,,,,,
00140201,Quinnipiac University,2018,2017,90,6,6,21,99,,0.7879,0.7846,0.0033,2015,116,0,6,110,95,0.8636
00141706,University of Connecticut,2009,2008,,,,,216,0.662,0.9231,0.8828,0.0403,,,,,,,
00141706,University of Connecticut,2010,2009,,,,,224,0.9643,0.8888,0.8588,0.03,,,,,,,
00141706,University of Connecticut,2011,2010,,,,,232,0.7543,0.9428,0.8569,0.0859,,,,,,,
00141706,University of Connecticut,2012,2011,,,,,183,0.7049,0.907,0.8459,0.0611,,,,,,,
00141706,University of Connecticut,2013,2012,,,,,203,1.0493,0.8779,0.8478,0.0301,,,,,,,
00141706,University of Connecticut,2014,2013,,,,,209,0.9378,0.8367,0.8432,-0.0065,,,,,,,
00141706,University of Connecticut,2015,2014,,,,,169,0.8047,0.8971,0.8765,0.0206,,,,,,,
00141706,University of Connecticut,2016,2015,,,,,143,0.993,0.831,0.8414,-0.0104,,,,,,,
00141706,University of Connecticut,2017,2016,151,16,0,12,147,,0.7755,0.7776,-0.0021,,,,,,,
00141706,University of Connecticut,2018,2017,155,20,0,8,143,,0.8042,0.786,0.0182,2015,152,14,0,138,135,0.9783
00142600,Yale University,2009,2008,,,,,195,0.7179,0.9715,0.8512,0.1203,,,,,,,
00142600,Yale University,2010,2009,,,,,184,0.75,0.9637,0.8246,0.1391,,,,,,,
00142600,Yale University,2011,2010,,,,,179,0.7039,0.9762,0.8231,0.1531,,,,,,,
00142600,Yale University,2012,2011,,,,,197,0.7157,0.9362,0.821,0.1152,,,,,,,
00142600,Yale University,2013,2012,,,,,203,0.7685,0.9359,0.7953,0.1406,,,,,,,
00142600,Yale University,2014,2013,,,,,180,0.7222,0.9616,0.8129,0.1487,,,,,,,
00142600,Yale University,2015,2014,,,,,210,0.7048,0.919,0.7546,0.1644,,,,,,,
00142600,Yale University,2016,2015,,,,,189,0.7196,0.9632,0.7483,0.2149,,,,,,,
00142600,Yale University,2017,2016,205,39,2,20,184,,0.9837,0.7571,0.2266,,,,,,,
00142600,Yale University,2018,2017,222,34,0,25,213,,0.9812,0.7896,0.1916,2015,212,15,3,194,192,0.9897
00143401,American University,2009,2008,,,,,485,0.9876,0.8876,0.8546,0.033,,,,,,,
00143401,American University,2010,2009,,,,,447,0.7897,0.8414,0.8079,0.0335,,,,,,,
00143401,American University,2011,2010,,,,,445,0.9326,0.8168,0.8098,0.007,,,,,,,
00143401,American University,2012,2011,,,,,426,0.7277,0.7968,0.8252,-0.0284,,,,,,,
00143401,American University,2013,2012,,,,,440,0.7591,0.7844,0.7972,-0.0128,,,,,,,
00143401,American University,2014,2013,,,,,464,0.7134,0.7916,0.8133,-0.0217,,,,,,,
00143401,American University,2015,2014,,,,,382,0.788,0.7475,0.7658,-0.0183,,,,,,,
