"","x"
"336",1
"337",1
"338",1
"339",1
"340",1
"341",1
"342",1
"343",0
"344",1
"345",1
"346",0
"347",0
"348",0
"349",1
"350",1
"351",1
"352",1
"353",1
"354",0
"355",1
"356",0
"357",0
"358",1
"359",0
"360",1
"361",1
"362",1
"363",0
"364",1
"365",0
"366",0
"367",0
"368",0
"369",0
"370",1
"371",0
"372",0
"373",1
"374",1
"375",0
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",0
"384",0
"385",1
"386",0
"387",1
"388",1
"389",1
"390",1
"391",0
"392",1
"393",0
"394",1
"395",0
"396",0
"397",0
"398",0
"399",1
"400",0
"401",1
"402",0
"403",0
"404",0
"405",1
"406",1
"407",1
"408",1
"409",1
"410",0
"411",1
"412",0
"413",1
"414",0
"415",1
"416",1
"417",1
"418",0
"419",1
"420",1
"421",0
"422",0
"423",1
"424",1
"425",0
"426",0
"427",0
"428",1
"429",1
"430",1
"431",1
"432",1
"433",0
"434",0
"435",1
"436",1
"437",1
"438",1
"439",1
"440",1
"441",1
"442",1
"443",1
"444",1
"445",0
"446",0
"447",1
"448",1
"449",0
"450",1
"451",1
"452",0
"453",0
"454",1
"455",1
"456",0
"457",0
"458",1
"459",1
"460",1
"461",1
"462",1
"463",0
"464",0
"465",0
"466",1
"467",0
"468",1
"469",0
"470",1
"471",1
"472",1
"473",0
"474",1
"475",1
"476",1
"477",1
"478",1
"479",1
"480",1
"481",0
"482",0
"483",1
"484",0
"485",0
"486",1
"487",1
"488",1
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",1
"496",1
"497",1
"498",0
"499",1
"500",1
"501",0
"502",1
"503",0
"504",1
"505",0
"506",0
"507",0
"508",0
"509",1
"510",0
"511",1
"512",0
"513",1
"514",0
"515",0
"516",1
"517",0
"518",0
"519",1
"520",0
"521",0
"522",1
"523",1
"524",0
"525",1
"526",1
"527",0
"528",1
"529",0
"530",0
"531",1
"532",0
"533",0
"534",1
"535",0
"536",1
"537",1
"538",0
"539",1
"540",1
"541",0
"542",0
"543",1
"544",0
"545",0
"546",0
"547",1
"548",0
"549",1
"550",0
"551",0
"552",0
"553",0
"554",1
"555",1
"556",1
"557",0
"558",0
"559",0
"560",1
"561",0
"562",1
"563",0
"564",1
"565",1
"566",1
"567",0
"568",1
"569",0
"570",1
"571",1
"572",1
"573",1
"574",0
"575",1
"576",1
"577",0
"578",1
"579",1
"580",0
"581",0
"582",0
"583",1
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",1
"592",1
"593",1
"594",1
"595",1
"596",1
"597",1
"598",1
"599",0
"600",1
"601",0
"602",1
"603",1
"604",0
"605",1
"606",1
"607",1
"608",0
"609",0
"610",0
"611",0
"612",1
"613",0
"614",0
"615",0
"616",0
"617",1
"618",0
"619",1
"620",1
"621",1
"622",1
"623",1
"624",1
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",1
"632",0
"633",1
"634",1
"635",1
"636",1
"637",0
"638",0
"639",0
"640",1
"641",0
"642",1
"643",0
"644",1
"645",0
"646",1
"647",1
"648",0
"649",0
"650",0
"651",1
"652",0
"653",0
"654",1
"655",1
"656",0
"657",0
"658",1
"659",1
"660",1
"661",1
"662",0
"663",0
"664",1
"665",0
"666",0
"667",1
"668",1
"669",0
"670",0
"671",1
"672",0
"673",0
"674",0
"675",1
"676",0
"677",0
"678",0
"679",0
"680",0
"681",0
"682",1
"683",1
"684",1
"685",1
"686",0
"687",0
"688",1
"689",1
"690",0
"691",1
"692",0
"693",1
"694",1
"695",0
"696",0
"697",0
"698",0
"699",1
"700",0
"701",0
"702",1
"703",1
"704",0
"705",0
"706",1
"707",0
"708",0
"709",1
"710",1
"711",1
"712",0
"713",0
"714",1
"715",1
"716",1
"717",1
"718",0
"719",0
"720",0
"721",0
"722",1
"723",1
"724",0
"725",1
"726",1
"727",1
"728",0
"729",1
"730",1
"731",0
"732",1
"733",0
"734",0
"735",1
"736",1
"737",0
"738",0
"739",0
"740",0
"741",0
"742",0
"743",0
"744",1
"745",1
"746",0
"747",0
"748",1
"749",1
"750",0
"751",0
"752",1
"753",0
"754",1
"755",0
"756",0
"757",0
"758",1
"759",1
"760",0
"761",1
"762",0
"763",0
"764",0
"765",0
"766",1
"767",1
"768",1
"769",0
"770",0
"771",0
"772",1
"773",0
"774",0
"775",1
"776",1
"777",0
"778",0
"779",0
"780",1
"781",0
"782",0
"783",0
"784",1
"785",0
"786",0
"787",0
"788",1
"789",0
"790",1
"791",1
"792",1
"793",1
"794",1
"795",1
"796",1
"797",1
"798",1
"799",0
"800",1
"801",1
"802",1
"803",0
"804",0
"805",0
"806",1
"807",1
"808",0
"809",0
"810",1
"811",0
"812",0
"813",0
"814",1
"815",1
"816",0
"817",0
"818",1
"819",1
"820",0
"821",0
"822",0
"823",1
"824",1
"825",0
"826",1
"827",0
"828",1
"829",0
"830",0
"831",0
"832",0
"833",0
"834",0
"835",0
"836",1
"837",1
"838",1
"839",1
"840",1
"841",0
"842",1
"843",0
"844",1
"845",0
"846",1
"847",0
"848",0
"849",1
"850",0
"851",0
"852",0
"853",0
"854",1
"855",1
"856",0
"857",1
"858",0
"859",0
"860",0
"861",0
"862",0
"863",0
"864",1
"865",0
"866",1
"867",1
"868",0
"869",1
"870",1
"871",1
"872",0
"873",0
"874",0
"875",0
"876",0
"877",1
"878",0
"879",1
"880",1
"881",1
"882",0
"883",0
"884",1
"885",0
"886",0
"887",0
"888",1
"889",0
"890",1
"891",1
"892",0
"893",0
"894",0
"895",1
"896",0
"897",0
"898",1
"899",0
"900",0
"901",0
"902",1
"903",0
"904",0
"905",1
"906",1
"907",0
"908",0
"909",1
"910",0
"911",1
"912",1
"913",0
"914",0
"915",1
"916",1
"917",0
"918",0
"919",1
"920",1
"921",0
"922",0
"923",1
"924",1
"925",0
"926",0
"927",1
"928",1
"929",1
"930",0
"931",0
"932",1
"933",0
"934",0
"935",1
"936",0
"937",1
"938",0
"939",0
"940",1
"941",0
"942",0
"943",0
"944",1
"945",1
"946",1
"947",0
"948",1
"949",0
"950",1
"951",0
"952",0
"953",0
"954",1
"955",0
"956",1
"957",0
"958",1
"959",1
"960",1
"961",0
"962",1
"963",0
"964",1
"965",0
"966",1
"967",1
"968",0
"969",0
"970",1
"971",1
"972",0
"973",0
"974",0
"975",1
"976",1
"977",0
"978",1
"979",0
"980",1
"981",1
"982",0
"983",1
"984",0
"985",0
"986",0
"987",1
"988",0
"989",0
"990",1
"991",1
"992",0
"993",1
"994",1
"995",0
"996",0
"997",0
"998",1
"999",1
"1000",0
